ticker,date,target,future_return,adj_close_mean,adj_close_std,adj_close_last,rsi_14_mean,rsi_14_std,rsi_14_last,macd_mean,macd_std,macd_last,macd_signal_mean,macd_signal_std,macd_signal_last,macd_hist_mean,macd_hist_std,macd_hist_last,bb_width_mean,bb_width_std,bb_width_last,ma_50_mean,ma_50_std,ma_50_last,ma_200_mean,ma_200_std,ma_200_last,volume_z_mean,volume_z_std,volume_z_last,atr_14_mean,atr_14_std,atr_14_last,atr_pct_mean,atr_pct_std,atr_pct_last,ten_year_yield_mean,ten_year_yield_std,ten_year_yield_last,sent_neg_mean_mean,sent_neg_mean_std,sent_neg_mean_last,sent_neu_mean_mean,sent_neu_mean_std,sent_neu_mean_last,sent_pos_mean_mean,sent_pos_mean_std,sent_pos_mean_last,sentiment_momentum_mean,sentiment_momentum_std,sentiment_momentum_last,bb_high_mean,bb_high_std,bb_high_last,bb_low_mean,bb_low_std,bb_low_last
SMCI,2020-01-30,0,-0.01704348688540247,2.801571454320635,0.15876580809976215,2.878000020980835,78.64849089065437,3.0479862850913397,76.13914100801891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04554943156632261,0.054718720066920495,0.0979467853724233,1.5783565233677872,1.8956108311416016,3.4032934210696286,1.7599999999999998,0.08735427425586703,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRSP,2020-01-30,1,0.03643654576166888,57.78357206072126,2.4949140392002405,54.20000076293945,30.188092086255455,7.057158921458373,30.753590211513924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1060406490762236,1.3254632154371873,2.5373400530418615,1.9954303285401331,2.393167766674467,4.68143914635667,1.7599999999999998,0.08735427425586703,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMCI,2020-01-31,0,-0.014663765850444044,2.8412143162318637,0.07803568911357792,2.875,78.21215477670803,3.0124034853846005,75.59413809303001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33874092060216177,0.0,0.33874092060216177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05249998358923109,0.05466796725821109,0.09730772832071875,1.8201148545993866,1.8946591435862712,3.3846166372423916,1.74,0.09671528397231823,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1743400806135322,0.0,3.1743400806135322,2.200459933882317,0.0,2.200459933882317
CRSP,2020-01-31,0,0.007122212251221338,57.106428963797434,2.5768699459427697,52.41999816894531,29.600697894438593,6.6270757949234955,26.07633274353742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20611993181154006,0.0,0.20611993181154006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.285507093621889,1.3342545513419666,2.5125302236393177,2.3377928825548437,2.4283325009664005,4.793075756205944,1.74,0.09671528397231823,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.55140339191871,0.0,63.55140339191871,52.74659694377465,0.0,52.74659694377465
SMCI,2020-02-03,0,0.015701352854929462,2.8545714616775513,0.04366607354374519,2.7960000038146973,76.2904420250181,6.109177206149726,62.838452763188535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33580343351638636,0.004154234075999395,0.33286594643061096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05951529278149511,0.05370587674638867,0.0982143286916963,2.0710200471134335,1.867477085759588,3.512672695196655,1.717142857142857,0.11062261358945846,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1743683429966225,3.9969045470947994e-05,3.1743966053797124,2.2220816758861295,0.030577760783923037,2.2437034178899413
CRSP,2020-02-03,1,0.07417947097942412,56.53857176644461,2.781720584275048,51.95000076293945,29.025030772220056,6.347854408535602,24.995360916690288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2186423225933099,0.01770933487691475,0.23116471337507977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4578177748344536,1.3110368625179112,2.4123495369759067,2.6694785008070174,2.4014360025783836,4.643598655530434,1.717142857142857,0.11062261358945846,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.668203565635594,0.16518038975794835,63.785003739352476,52.261296823463525,0.6863180119652854,51.7759967031524
SMCI,2020-02-04,0,-0.007531692693552028,2.8556428807122365,0.04375563418320765,2.865999937057495,75.36841925140783,6.348852205290767,67.99223706252582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32582027160654187,0.017539081946715725,0.30585394778685276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656012117202974,0.051730859237262616,0.09862759746748473,2.3168270445053283,1.7991399883299197,3.4412979634865275,1.695,0.1129840015904226,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.174058462326475,0.0005374726518536522,3.1734387009861806,2.247008219217511,0.04828558185041529,2.2968613058802743
CRSP,2020-02-04,1,0.06581900687908049,56.09000015258789,2.86121318520801,52.709999084472656,29.138394592928957,5.947605471581043,30.045305158600172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225945488669546,0.01779940940319682,0.24055182082201818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6299634128385456,1.2622094270797328,2.410038932057287,2.996068599448857,2.3199941196151173,4.572261380985752,1.695,0.1129840015904226,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.70671683435341,0.13450686295607756,63.78374337178903,51.87561692113976,0.8256895106172807,51.10425711649222
CRSP,2020-02-05,1,0.05306345440035143,55.647142955235076,2.740063428725411,53.47999954223633,29.70781688894997,5.889480682380254,34.83261755313907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22980397261746177,0.01645491548363899,0.24137942446120908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7968894697484556,1.1820521335146172,2.3369647967387417,3.308196606813701,2.175344358341621,4.36979210310782,1.6800000000000002,0.10898129691338362,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.67378411025276,0.12806113665594596,63.574985937950835,51.57321629791984,0.9057004617002815,50.666014428260105
SMCI,2020-02-05,0,-0.014256637440294151,2.866285732814244,0.03978680886362662,2.9210000038146973,74.96696321281452,6.118899866443647,71.3538588654747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31329539186993927,0.028854289918274555,0.2757207526601314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07340276802068325,0.04848322990378761,0.09579705588114933,2.551084040045121,1.6841051617956313,3.2795979375570896,1.6800000000000002,0.10898129691338362,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.172428888813286,0.003288559548983413,3.1675401682737188,2.275796126588554,0.06978041310404008,2.3621598487016837
